data,setor,latitude,longitude,media_diaria
2018-01-01,355030874000128,-23.490073,-46.448788,23.246792715234715
2018-01-01,355030874000129,-23.489588,-46.446908,23.246792715234715
2018-01-01,355030874000130,-23.489589,-46.445558,23.246792715234715
2018-01-01,355030874000141,-23.489409,-46.446869,23.246792715234715
2018-01-01,355030874000167,-23.489014,-46.448352,23.246792715234715
2018-01-01,355030874000176,-23.490741,-46.451299,23.521074852506363
2018-01-01,355030874000185,-23.48972,-46.444727,23.246792715234715
2018-01-01,355030874000168,-23.489018,-46.449844,23.45048433715809
2018-01-01,355030874000169,-23.489704,-46.450225,23.521074852506363
2018-01-01,355030874000173,-23.48862,-46.451515,23.45048433715809
2018-01-01,355030874000175,-23.488465,-46.449107,23.246792715234715
2018-01-01,355030874000177,-23.489589,-46.452267,23.521074852506363
2018-01-01,355030874000146,-23.488686,-46.446473,23.246792715234715
2018-01-01,355030874000147,-23.488453,-46.445619,23.246792715234715
2018-01-01,355030874000148,-23.488088,-46.447047,23.246792715234715
2018-01-01,355030874000174,-23.487689,-46.449774,23.45048433715809
2018-01-01,355030874000186,-23.488829,-46.444497,23.246792715234715
2018-01-02,355030874000128,-23.490073,-46.448788,23.975957325824147
2018-01-02,355030874000129,-23.489588,-46.446908,23.975957325824147
2018-01-02,355030874000130,-23.489589,-46.445558,23.975957325824147
2018-01-02,355030874000141,-23.489409,-46.446869,23.975957325824147
2018-01-02,355030874000167,-23.489014,-46.448352,23.975957325824147
2018-01-02,355030874000176,-23.490741,-46.451299,23.959073340940808
2018-01-02,355030874000185,-23.48972,-46.444727,23.975957325824147
2018-01-02,355030874000168,-23.489018,-46.449844,23.97645603909327
2018-01-02,355030874000169,-23.489704,-46.450225,23.959073340940808
2018-01-02,355030874000173,-23.48862,-46.451515,23.97645603909327
2018-01-02,355030874000175,-23.488465,-46.449107,23.975957325824147
2018-01-02,355030874000177,-23.489589,-46.452267,23.959073340940808
2018-01-02,355030874000146,-23.488686,-46.446473,23.975957325824147
2018-01-02,355030874000147,-23.488453,-46.445619,23.975957325824147
2018-01-02,355030874000148,-23.488088,-46.447047,23.975957325824147
2018-01-02,355030874000174,-23.487689,-46.449774,23.97645603909327
2018-01-02,355030874000186,-23.488829,-46.444497,23.975957325824147
2018-01-03,355030874000128,-23.490073,-46.448788,21.246734982775603
2018-01-03,355030874000129,-23.489588,-46.446908,21.246734982775603
2018-01-03,355030874000130,-23.489589,-46.445558,21.246734982775603
2018-01-03,355030874000141,-23.489409,-46.446869,21.246734982775603
2018-01-03,355030874000167,-23.489014,-46.448352,21.246734982775603
2018-01-03,355030874000176,-23.490741,-46.451299,21.520711784338122
2018-01-03,355030874000185,-23.48972,-46.444727,21.246734982775603
2018-01-03,355030874000168,-23.489018,-46.449844,21.451016330314822
2018-01-03,355030874000169,-23.489704,-46.450225,21.520711784338122
2018-01-03,355030874000173,-23.48862,-46.451515,21.451016330314822
2018-01-03,355030874000175,-23.488465,-46.449107,21.246734982775603
2018-01-03,355030874000177,-23.489589,-46.452267,21.520711784338122
2018-01-03,355030874000146,-23.488686,-46.446473,21.246734982775603
2018-01-03,355030874000147,-23.488453,-46.445619,21.246734982775603
2018-01-03,355030874000148,-23.488088,-46.447047,21.246734982775603
2018-01-03,355030874000174,-23.487689,-46.449774,21.451016330314822
2018-01-03,355030874000186,-23.488829,-46.444497,21.246734982775603
2018-01-04,355030874000128,-23.490073,-46.448788,22.216383275140956
2018-01-04,355030874000129,-23.489588,-46.446908,22.216383275140956
2018-01-04,355030874000130,-23.489589,-46.445558,22.216383275140956
2018-01-04,355030874000141,-23.489409,-46.446869,22.216383275140956
2018-01-04,355030874000167,-23.489014,-46.448352,22.216383275140956
2018-01-04,355030874000176,-23.490741,-46.451299,22.463264630684606
2018-01-04,355030874000185,-23.48972,-46.444727,22.216383275140956
2018-01-04,355030874000168,-23.489018,-46.449844,22.421203307853265
2018-01-04,355030874000169,-23.489704,-46.450225,22.463264630684606
2018-01-04,355030874000173,-23.48862,-46.451515,22.421203307853265
2018-01-04,355030874000175,-23.488465,-46.449107,22.216383275140956
2018-01-04,355030874000177,-23.489589,-46.452267,22.463264630684606
2018-01-04,355030874000146,-23.488686,-46.446473,22.216383275140956
2018-01-04,355030874000147,-23.488453,-46.445619,22.216383275140956
2018-01-04,355030874000148,-23.488088,-46.447047,22.216383275140956
2018-01-04,355030874000174,-23.487689,-46.449774,22.421203307853265
2018-01-04,355030874000186,-23.488829,-46.444497,22.216383275140956
2018-01-05,355030874000128,-23.490073,-46.448788,21.271194010789536
2018-01-05,355030874000129,-23.489588,-46.446908,21.271194010789536
2018-01-05,355030874000130,-23.489589,-46.445558,21.271194010789536
2018-01-05,355030874000141,-23.489409,-46.446869,21.271194010789536
2018-01-05,355030874000167,-23.489014,-46.448352,21.271194010789536
2018-01-05,355030874000176,-23.490741,-46.451299,21.564039338159976
2018-01-05,355030874000185,-23.48972,-46.444727,21.271194010789536
2018-01-05,355030874000168,-23.489018,-46.449844,21.47308200923485
2018-01-05,355030874000169,-23.489704,-46.450225,21.564039338159976
2018-01-05,355030874000173,-23.48862,-46.451515,21.47308200923485
2018-01-05,355030874000175,-23.488465,-46.449107,21.271194010789536
2018-01-05,355030874000177,-23.489589,-46.452267,21.564039338159976
2018-01-05,355030874000146,-23.488686,-46.446473,21.271194010789536
2018-01-05,355030874000147,-23.488453,-46.445619,21.271194010789536
2018-01-05,355030874000148,-23.488088,-46.447047,21.271194010789536
2018-01-05,355030874000174,-23.487689,-46.449774,21.47308200923485
2018-01-05,355030874000186,-23.488829,-46.444497,21.271194010789536
2018-01-06,355030874000128,-23.490073,-46.448788,21.315880822793666
2018-01-06,355030874000129,-23.489588,-46.446908,21.315880822793666
2018-01-06,355030874000130,-23.489589,-46.445558,21.315880822793666
2018-01-06,355030874000141,-23.489409,-46.446869,21.315880822793666
2018-01-06,355030874000167,-23.489014,-46.448352,21.315880822793666
2018-01-06,355030874000176,-23.490741,-46.451299,21.646875007897822
2018-01-06,355030874000185,-23.48972,-46.444727,21.315880822793666
2018-01-06,355030874000168,-23.489018,-46.449844,21.514668638767354
2018-01-06,355030874000169,-23.489704,-46.450225,21.646875007897822
2018-01-06,355030874000173,-23.48862,-46.451515,21.514668638767354
2018-01-06,355030874000175,-23.488465,-46.449107,21.315880822793666
2018-01-06,355030874000177,-23.489589,-46.452267,21.646875007897822
2018-01-06,355030874000146,-23.488686,-46.446473,21.315880822793666
2018-01-06,355030874000147,-23.488453,-46.445619,21.315880822793666
2018-01-06,355030874000148,-23.488088,-46.447047,21.315880822793666
2018-01-06,355030874000174,-23.487689,-46.449774,21.514668638767354
2018-01-06,355030874000186,-23.488829,-46.444497,21.315880822793666
2018-01-07,355030874000128,-23.490073,-46.448788,17.28824633732641
2018-01-07,355030874000129,-23.489588,-46.446908,17.28824633732641
2018-01-07,355030874000130,-23.489589,-46.445558,17.28824633732641
2018-01-07,355030874000141,-23.489409,-46.446869,17.28824633732641
2018-01-07,355030874000167,-23.489014,-46.448352,17.28824633732641
2018-01-07,355030874000176,-23.490741,-46.451299,17.593513386304508
2018-01-07,355030874000185,-23.48972,-46.444727,17.28824633732641
2018-01-07,355030874000168,-23.489018,-46.449844,17.488240453720106
2018-01-07,355030874000169,-23.489704,-46.450225,17.593513386304508
2018-01-07,355030874000173,-23.48862,-46.451515,17.488240453720106
2018-01-07,355030874000175,-23.488465,-46.449107,17.28824633732641
2018-01-07,355030874000177,-23.489589,-46.452267,17.593513386304508
2018-01-07,355030874000146,-23.488686,-46.446473,17.28824633732641
2018-01-07,355030874000147,-23.488453,-46.445619,17.28824633732641
2018-01-07,355030874000148,-23.488088,-46.447047,17.28824633732641
2018-01-07,355030874000174,-23.487689,-46.449774,17.488240453720106
2018-01-07,355030874000186,-23.488829,-46.444497,17.28824633732641
2018-01-08,355030874000128,-23.490073,-46.448788,18.26856630935476
2018-01-08,355030874000129,-23.489588,-46.446908,18.26856630935476
2018-01-08,355030874000130,-23.489589,-46.445558,18.26856630935476
2018-01-08,355030874000141,-23.489409,-46.446869,18.26856630935476
2018-01-08,355030874000167,-23.489014,-46.448352,18.26856630935476
2018-01-08,355030874000176,-23.490741,-46.451299,18.558940495669464
2018-01-08,355030874000185,-23.48972,-46.444727,18.26856630935476
2018-01-08,355030874000168,-23.489018,-46.449844,18.471590676484926
2018-01-08,355030874000169,-23.489704,-46.450225,18.558940495669464
2018-01-08,355030874000173,-23.48862,-46.451515,18.471590676484926
2018-01-08,355030874000175,-23.488465,-46.449107,18.26856630935476
2018-01-08,355030874000177,-23.489589,-46.452267,18.558940495669464
2018-01-08,355030874000146,-23.488686,-46.446473,18.26856630935476
2018-01-08,355030874000147,-23.488453,-46.445619,18.26856630935476
2018-01-08,355030874000148,-23.488088,-46.447047,18.26856630935476
2018-01-08,355030874000174,-23.487689,-46.449774,18.471590676484926
2018-01-08,355030874000186,-23.488829,-46.444497,18.26856630935476
2018-01-09,355030874000128,-23.490073,-46.448788,20.237251638214783
2018-01-09,355030874000129,-23.489588,-46.446908,20.237251638214783
2018-01-09,355030874000130,-23.489589,-46.445558,20.237251638214783
2018-01-09,355030874000141,-23.489409,-46.446869,20.237251638214783
2018-01-09,355030874000167,-23.489014,-46.448352,20.237251638214783
2018-01-09,355030874000176,-23.490741,-46.451299,20.503876289524836
2018-01-09,355030874000185,-23.48972,-46.444727,20.237251638214783
2018-01-09,355030874000168,-23.489018,-46.449844,20.44348075203515
2018-01-09,355030874000169,-23.489704,-46.450225,20.503876289524836
2018-01-09,355030874000173,-23.48862,-46.451515,20.44348075203515
2018-01-09,355030874000175,-23.488465,-46.449107,20.237251638214783
2018-01-09,355030874000177,-23.489589,-46.452267,20.503876289524836
2018-01-09,355030874000146,-23.488686,-46.446473,20.237251638214783
2018-01-09,355030874000147,-23.488453,-46.445619,20.237251638214783
2018-01-09,355030874000148,-23.488088,-46.447047,20.237251638214783
2018-01-09,355030874000174,-23.487689,-46.449774,20.44348075203515
2018-01-09,355030874000186,-23.488829,-46.444497,20.237251638214783
2018-01-10,355030874000128,-23.490073,-46.448788,21.273838695528852
2018-01-10,355030874000129,-23.489588,-46.446908,21.273838695528852
2018-01-10,355030874000130,-23.489589,-46.445558,21.273838695528852
2018-01-10,355030874000141,-23.489409,-46.446869,21.273838695528852
2018-01-10,355030874000167,-23.489014,-46.448352,21.273838695528852
2018-01-10,355030874000176,-23.490741,-46.451299,21.568147976675
2018-01-10,355030874000185,-23.48972,-46.444727,21.273838695528852
2018-01-10,355030874000168,-23.489018,-46.449844,21.47677299548242
2018-01-10,355030874000169,-23.489704,-46.450225,21.568147976675
2018-01-10,355030874000173,-23.48862,-46.451515,21.47677299548242
2018-01-10,355030874000175,-23.488465,-46.449107,21.273838695528852
2018-01-10,355030874000177,-23.489589,-46.452267,21.568147976675
2018-01-10,355030874000146,-23.488686,-46.446473,21.273838695528852
2018-01-10,355030874000147,-23.488453,-46.445619,21.273838695528852
2018-01-10,355030874000148,-23.488088,-46.447047,21.273838695528852
2018-01-10,355030874000174,-23.487689,-46.449774,21.47677299548242
2018-01-10,355030874000186,-23.488829,-46.444497,21.273838695528852
2018-01-11,355030874000128,-23.490073,-46.448788,22.246954935493807
2018-01-11,355030874000129,-23.489588,-46.446908,22.246954935493807
2018-01-11,355030874000130,-23.489589,-46.445558,22.246954935493807
2018-01-11,355030874000141,-23.489409,-46.446869,22.246954935493807
2018-01-11,355030874000167,-23.489014,-46.448352,22.246954935493807
2018-01-11,355030874000176,-23.490741,-46.451299,22.52116086752786
2018-01-11,355030874000185,-23.48972,-46.444727,22.246954935493807
2018-01-11,355030874000168,-23.489018,-46.449844,22.452828533678
2018-01-11,355030874000169,-23.489704,-46.450225,22.52116086752786
2018-01-11,355030874000173,-23.48862,-46.451515,22.452828533678
