,
Sistema de Informação de Qualidade do Ar

Exportar Dados
,Tipo de Rede,Tipo de Monitoramento,Tipo,Data,Hora,Código Estação,Nome Estação,Nome Parâmetro,Unidade de Medida,Média Horária,Média Móvel,Válido,Dt. Amostragem,Dt. Instalação,Dt. Retirada,Concentração,Taxa,
,Automático,CETESB,Dados Primários,17/01/2022,10:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"0,9",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,11:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"0,9",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,12:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"1,0",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,13:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"0,9",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,14:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"1,1",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,15:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"1,0",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,16:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"1,0",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,17:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"1,0",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,18:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"0,9",-,Sim,-,-,-,-,-,
,Automático,CETESB,Dados Primários,17/01/2022,19:00,73,Congonhas,CO (Monóxido de Carbono),ppm,"1,0",-,Sim,-,-,-,-,-,
